sale_date,product,category,region,quantity,amount,stock_quantity
2011-01-14,Avery Metallic Poly Binders,Office Supplies,East,2,3.44,235
2011-01-14,Tennsco 6- and 18-Compartment Lockers,Office Supplies,West,5,1325.85,157
2011-01-14,Xerox 1923,Office Supplies,East,7,37.41,37
2011-01-14,Staples,Office Supplies,South,2,11.36,129
2011-01-14,Global Highback Leather Tilter in Burgundy,Furniture,South,6,545.94,191
2011-01-14,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,West,3,334.0,187
2011-01-14,Brown Kraft Recycled Envelopes,Office Supplies,South,3,50.94,20
2011-01-14,Plantronics S12 Corded Telephone Headset System,Technology,South,6,646.74,160
2011-01-15,Sauder Cornerstone Collection Library,Furniture,East,4,61.96,203
2011-01-16,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,South,5,149.95,57
2011-01-17,Round Specialty Laser Printer Labels,Office Supplies,East,3,30.07,21
2011-01-17,DAX Black Cherry Wood-Tone Poster Frame,Furniture,East,6,127.1,235
2011-01-17,AT&T 841000 Phone,Technology,East,3,124.2,88
2011-01-17,GBC Linen Binding Covers,Office Supplies,East,2,18.59,48
2011-01-19,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,West,4,64.86,218
2011-01-20,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,West,10,32.34,58
2011-01-20,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,West,4,56.06,169
2011-01-20,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,West,5,108.72,219
2011-01-20,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,West,5,181.47,187
2011-01-21,Ultra Door Push Plate,Furniture,Central,3,14.73,207
2011-01-21,Storex Dura Pro Binders,Office Supplies,Central,5,29.7,14
2011-01-21,"Wirebound Service Call Books, 5 1/2' x 4'",Office Supplies,West,2,19.36,189
2011-01-21,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,South,1,67.19,189
2011-01-21,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,Central,3,43.92,174
2011-01-21,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,South,4,38.6,189
2011-01-21,Newell 327,Office Supplies,South,3,6.63,50
2011-01-21,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Central,2,66.58,107
2011-01-21,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,South,3,1067.94,54
2011-01-21,"Acco Pressboard Covers with Storage Hooks, 9 1/2' x 11', Executive Red",Office Supplies,Central,5,19.05,243
2011-01-21,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Central,3,272.94,63
2011-01-21,Eldon Fold 'N Roll Cart System,Office Supplies,Central,1,13.98,248
2011-01-21,Staples,Office Supplies,South,3,23.34,130
2011-01-21,Newell 351,Office Supplies,South,7,22.96,228
2011-01-21,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,West,2,19.3,50
2011-01-21,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Central,4,247.72,134
2011-01-21,Apple iPhone 5C,Technology,South,7,699.93,20
2011-01-22,Ultra Door Pull Handle,Furniture,South,3,25.25,72
2011-01-24,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Central,3,5.94,166
2011-01-24,Xerox 195,Office Supplies,West,6,40.08,17
2011-01-27,"REDIFORM Incoming/Outgoing Call Register, 11' X 8 1/2', 100 Messages",Office Supplies,South,2,16.68,131
2011-01-27,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Central,2,141.96,88
2011-01-27,Jabra SPEAK 410,Technology,South,2,187.98,59
2011-01-27,Eldon Image Series Black Desk Accessories,Furniture,South,3,12.42,13
2011-01-27,Macally Suction Cup Mount,Technology,South,13,155.35,241
2011-01-27,"Eureka Recycled Copy Paper 8 1/2' x 11', Ream",Office Supplies,South,3,19.44,249
2011-01-27,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,South,8,489.92,8
2011-01-27,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,South,3,62.82,89
2011-01-27,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,Central,2,10.68,52
2011-01-28,Recycled Steel Personal File for Hanging File Folders,Office Supplies,West,1,57.23,129
2011-01-28,Dixon Ticonderoga Core-Lock Colored Pencils,Office Supplies,West,4,36.44,83
2011-01-28,Balt Split Level Computer Training Table,Furniture,West,3,333.0,91
2011-01-29,"Pressboard Covers with Storage Hooks, 9 1/2' x 11', Light Blue",Office Supplies,East,1,3.93,110
2011-01-31,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Central,2,229.94,187
2011-01-31,Xerox 1972,Office Supplies,Central,2,10.56,198
2011-02-01,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,West,2,290.67,171
2011-02-02,Enermax Aurora Lite Keyboard,Technology,Central,6,468.9,7
2011-02-03,Surelock Post Binders,Office Supplies,South,2,18.34,174
2011-02-03,AT&T 17929 Lendline Telephone,Technology,South,5,180.96,34
2011-02-03,Staples,Office Supplies,West,5,12.35,205
2011-02-04,Avery Durable Poly Binders,Office Supplies,West,3,13.27,80
2011-02-04,Ibico Laser Imprintable Binding System Covers,Office Supplies,West,2,83.84,163
2011-02-05,GBC Recycled Grain Textured Covers,Office Supplies,West,3,82.9,49
2011-02-05,"Message Book, Standard Line 'While You Were Out', 5 1/2' X 4', 200 Sets/Book",Office Supplies,West,4,34.24,103
2011-02-05,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,West,2,17.25,131
2011-02-07,AT&T CL82213,Technology,South,5,144.95,1
2011-02-07,Aastra 57i VoIP phone,Technology,South,1,161.61,133
2011-02-07,Avery 480,Office Supplies,South,4,15.0,53
2011-02-07,"Avery Flip-Chart Easel Binder, Black",Office Supplies,Central,2,8.95,105
2011-02-08,Maxell DVD-RAM Discs,Technology,East,7,115.36,3
2011-02-08,Acco Perma 4000 Stacking Storage Drawers,Office Supplies,East,4,64.96,53
2011-02-09,"Master Caster Door Stop, Large Brown",Furniture,West,2,14.56,220
2011-02-12,Fellowes Neat Ideas Storage Cubes,Office Supplies,Central,2,64.96,190
2011-02-12,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Central,1,60.89,145
2011-02-12,Avery 483,Office Supplies,Central,3,14.94,217
2011-02-12,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,Central,2,9.64,43
2011-02-12,"Rubbermaid ClusterMat Chairmats, Mat Size- 66' x 60', Lip 20' x 11' -90 Degree Angle",Furniture,Central,3,332.94,161
2011-02-12,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,South,2,17.46,201
2011-02-12,VariCap6 Expandable Binder,Office Supplies,Central,3,51.9,189
2011-02-12,Hon 2111 Invitation Series Corner Table,Furniture,South,6,1256.22,227
2011-02-12,Enermax Aurora Lite Keyboard,Technology,South,3,234.45,13
2011-02-13,"Global Geo Office Task Chair, Gray",Furniture,West,2,129.57,94
2011-02-15,Compact Automatic Electric Letter Opener,Office Supplies,West,2,238.62,47
2011-02-15,Belkin 8 Outlet Surge Protector,Office Supplies,West,2,81.96,14
2011-02-15,Logitech G600 MMO Gaming Mouse,Technology,West,3,239.97,199
2011-02-15,"Memo Book, 100 Message Capacity, 5 3/8 x 11",Office Supplies,Central,3,16.18,205
2011-02-16,Pressboard Data Binders by Wilson Jones,Office Supplies,West,5,21.36,214
2011-02-17,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Central,3,1.08,248
2011-02-17,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Office Supplies,Central,2,7.96,189
2011-02-18,Staples,Office Supplies,Central,14,54.21,39
2011-02-19,Akro Stacking Bins,Office Supplies,Central,2,12.62,212
2011-02-19,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,Central,5,25.16,207
2011-02-21,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Technology,Central,3,62.31,236
2011-02-21,"Master Caster Door Stop, Brown",Furniture,Central,4,20.32,81
2011-02-21,Xerox 204,Office Supplies,West,2,12.96,110
2011-02-22,GBC Standard Plastic Binding Systems Combs,Office Supplies,Central,5,8.85,52
2011-02-23,Xerox 220,Office Supplies,West,3,19.44,23
2011-02-24,Staples,Office Supplies,Central,3,6.94,153
2011-02-24,GBC Plastic Binding Combs,Office Supplies,Central,3,4.43,216
2011-02-25,"Message Book, Wirebound, Four 5 1/2' X 4' Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,West,4,32.9,187
2011-02-25,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",Office Supplies,West,3,22.78,123
2011-02-28,Zebra Zazzle Fluorescent Highlighters,Office Supplies,East,4,19.46,236
2011-03-01,Novimex Swivel Fabric Task Chair,Furniture,Central,6,634.12,40
2011-03-01,Global Deluxe High-Back Manager's Chair,Furniture,West,2,457.57,156
2011-03-01,Harbour Creations Steel Folding Chair,Furniture,Central,6,362.25,14
2011-03-01,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Central,5,18.84,44
2011-03-01,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,Technology,East,3,5.94,64
2011-03-01,Bevis Round Conference Room Tables and Bases,Furniture,Central,3,376.51,88
2011-03-01,Recycled Steel Personal File for Hanging File Folders,Office Supplies,Central,3,137.35,70
2011-03-01,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Central,3,129.55,8
2011-03-01,Black Print Carbonless 8 1/2' x 8 1/4' Rapid Memo Book,Office Supplies,Central,3,17.47,87
2011-03-01,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Central,6,63.55,128
2011-03-02,"Array Parchment Paper, Assorted Colors",Office Supplies,East,5,36.4,235
2011-03-02,Staples,Office Supplies,East,2,11.36,135
2011-03-02,Hypercom P1300 Pinpad,Technology,East,3,151.2,215
2011-03-02,Xerox 1971,Office Supplies,East,1,3.42,62
2011-03-03,Zebra Zazzle Fluorescent Highlighters,Office Supplies,South,4,19.46,138
2011-03-03,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,East,5,302.45,242
2011-03-03,3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Central,3,176.77,80
2011-03-03,"Bevis Oval Conference Table, Walnut",Furniture,West,3,626.35,135
2011-03-03,PowerGen Dual USB Car Charger,Technology,East,1,9.99,162
2011-03-03,Ibico Laser Imprintable Binding System Covers,Office Supplies,East,3,125.76,162
2011-03-03,Avery 495,Office Supplies,East,3,15.12,32
2011-03-03,Eldon Shelf Savers Cubes and Bins,Office Supplies,East,8,44.67,122
2011-03-03,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Office Supplies,East,5,25.32,4
2011-03-04,"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,South,3,15.55,233
2011-03-04,Sensible Storage WireTech Storage Systems,Office Supplies,South,5,354.9,230
2011-03-05,Xerox 1891,Office Supplies,East,2,97.82,249
2011-03-05,Newell 345,Office Supplies,East,3,59.52,40
2011-03-05,Logitech Wireless Gaming Headset G930,Technology,East,3,479.97,27
2011-03-05,Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,East,2,18.62,134
2011-03-05,GBC Wire Binding Combs,Office Supplies,East,6,49.63,200
2011-03-07,"Global Leather and Oak Executive Chair, Black",Furniture,West,2,481.57,71
2011-03-07,Office Star - Task Chair with Contemporary Loop Arms,Furniture,West,6,436.7,11
2011-03-07,Contico 72'H Heavy-Duty Storage System,Office Supplies,West,5,204.9,161
2011-03-07,Newell Chalk Holder,Office Supplies,West,5,20.65,32
2011-03-07,"Global Push Button Manager's Chair, Indigo",Furniture,West,1,48.71,47
2011-03-07,Catalog Binders with Expanding Posts,Office Supplies,West,2,107.65,246
2011-03-07,Newell 330,Office Supplies,West,3,17.94,150
2011-03-07,Carina 42'Hx23 3/4'W Media Storage Unit,Office Supplies,West,3,242.94,61
2011-03-10,"BOSTON Ranger #55 Pencil Sharpener, Black",Office Supplies,West,4,83.17,215
2011-03-10,Tennsco 6- and 18-Compartment Lockers,Office Supplies,West,3,636.41,36
2011-03-10,"Geographics Note Cards, Blank, White, 8 1/2' x 11'",Office Supplies,Central,2,22.38,98
2011-03-11,Economy #2 Pencils,Office Supplies,West,3,7.98,171
2011-03-11,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Office Supplies,South,3,146.76,103
2011-03-11,Eldon Wave Desk Accessories,Furniture,East,5,8.32,213
2011-03-11,Stockwell Push Pins,Office Supplies,East,6,10.46,218
2011-03-11,Maxell DVD-RAM Discs,Technology,South,2,32.96,34
2011-03-11,Xerox 198,Office Supplies,South,3,14.94,192
2011-03-11,"Southworth 100% Résumé Paper, 24lb.",Office Supplies,East,14,108.92,226
2011-03-11,Panasonic KX-TG9471B,Technology,South,3,587.97,100
2011-03-14,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,South,4,1139.92,174
2011-03-14,Xerox 1972,Office Supplies,West,2,10.56,205
2011-03-14,Xerox 1887,Office Supplies,South,6,91.06,130
2011-03-14,GBC Wire Binding Combs,Office Supplies,West,4,33.09,0
2011-03-14,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,West,1,80.98,4
2011-03-14,Imation 30456 USB Flash Drive 8GB,Technology,West,12,82.8,217
2011-03-14,Staples,Office Supplies,West,2,21.36,246
2011-03-14,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2' x 11'",Office Supplies,West,2,62.05,141
2011-03-14,Avery Hi-Liter Fluorescent Desk Style Markers,Office Supplies,West,1,3.38,102
2011-03-14,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,Technology,Central,2,574.91,26
2011-03-14,Xerox 1963,Office Supplies,Central,2,8.45,136
2011-03-15,GBC VeloBinder Manual Binding System,Office Supplies,South,4,43.19,206
2011-03-15,"Hot File 7-Pocket, Floor Stand",Office Supplies,South,1,142.78,14
2011-03-15,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,South,3,45.7,89
2011-03-15,Insertable Tab Post Binder Dividers,Office Supplies,South,3,7.22,41
2011-03-15,Xerox 1889,Office Supplies,South,3,131.9,123
2011-03-16,Polycom VoiceStation 500 Conference phone,Technology,South,2,471.92,204
2011-03-17,"Acco Pressboard Covers with Storage Hooks, 9 1/2' x 11', Executive Red",Office Supplies,South,3,11.43,178
2011-03-17,"GBC Twin Loop Wire Binding Elements, 9/16' Spine, Black",Office Supplies,South,2,30.44,62
2011-03-17,Xerox 1957,Office Supplies,South,2,12.96,95
2011-03-17,Xerox 1909,Office Supplies,East,6,126.62,230
2011-03-17,Hon 30' x 60' Table with Locking Drawer,Furniture,East,3,613.91,240
2011-03-17,Xerox 1926,Office Supplies,East,7,34.86,51
2011-03-17,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Office Supplies,Central,6,35.88,95
2011-03-17,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,Central,10,53.4,131
2011-03-17,Newell 35,Office Supplies,Central,6,19.68,221
2011-03-17,Xerox 1918,Office Supplies,East,4,155.04,228
2011-03-17,Newell 333,Office Supplies,Central,2,4.45,150
2011-03-17,Balt Solid Wood Round Tables,Furniture,East,4,1071.58,230
2011-03-17,Xerox 1967,Office Supplies,Central,3,15.55,236
2011-03-17,"Memo Book, 100 Message Capacity, 5 3/8 x 11",Office Supplies,Central,7,47.18,142
2011-03-17,Bretford Rectangular Conference Table Tops,Furniture,East,7,1579.75,170
2011-03-17,EcoTones Memo Sheets,Office Supplies,South,4,16.0,28
2011-03-17,Belkin 6 Outlet Metallic Surge Strip,Office Supplies,South,3,32.67,35
2011-03-17,Xerox 1966,Office Supplies,Central,1,5.18,12
2011-03-17,Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,Central,2,93.78,159
2011-03-18,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,Technology,South,4,821.3,70
2011-03-18,"Dana Fluorescent Magnifying Lamp, White, 36'",Furniture,South,3,122.35,186
2011-03-18,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,South,6,22638.48,242
2011-03-18,Tennsco 6- and 18-Compartment Lockers,Office Supplies,West,7,1856.19,85
2011-03-18,Xerox 195,Office Supplies,South,4,21.38,27
2011-03-18,Staples,Office Supplies,South,3,18.94,65
2011-03-18,Executive Impressions 13' Clairmont Wall Clock,Furniture,South,2,30.77,169
2011-03-18,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,West,2,111.0,44
2011-03-18,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,South,3,8.02,61
2011-03-18,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,West,10,1198.33,184
2011-03-18,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,West,4,1279.97,244
2011-03-19,"Logitech Wireless Boombox Speaker - portable - wireless, wired",Technology,South,2,170.24,133
2011-03-19,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,South,3,323.98,27
2011-03-19,Document Clip Frames,Furniture,South,3,20.02,27
2011-03-19,Avery 501,Office Supplies,South,4,11.81,107
2011-03-19,Crate-A-Files,Office Supplies,South,3,26.16,43
2011-03-19,"Avery Flip-Chart Easel Binder, Black",Office Supplies,South,5,33.57,83
2011-03-19,Eldon Wave Desk Accessories,Furniture,South,3,4.99,29
2011-03-21,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2', Blue",Office Supplies,South,3,122.94,189
2011-03-21,Global Highback Leather Tilter in Burgundy,Furniture,South,3,218.38,74
2011-03-21,Xerox 1919,Office Supplies,South,3,122.97,127
2011-03-21,American Pencil,Office Supplies,South,4,9.32,249
2011-03-21,DAX Wood Document Frame,Furniture,South,3,32.95,246
2011-03-21,Avery 505,Office Supplies,South,5,59.2,91
2011-03-21,Samsung Galaxy S4 Active,Technology,South,7,3499.93,216
2011-03-21,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,East,3,6.05,230
2011-03-21,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,East,2,7.41,189
2011-03-21,Tennsco Commercial Shelving,Office Supplies,South,1,16.27,224
2011-03-21,Avery 492,Office Supplies,South,5,14.4,128
2011-03-22,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,West,3,314.35,120
2011-03-22,GBC Prestige Therm-A-Bind Covers,Office Supplies,South,5,51.46,26
2011-03-22,Xerox 1951,Office Supplies,West,3,74.35,189
2011-03-22,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,South,4,7.64,120
2011-03-22,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Central,2,16.28,115
2011-03-23,Avery 476,Office Supplies,South,3,9.91,204
2011-03-23,Ooma Telo VoIP Home Phone System,Technology,West,6,604.75,232
2011-03-23,Economy Rollaway Files,Office Supplies,West,2,330.4,2
2011-03-24,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Furniture,West,2,40.48,102
2011-03-24,Xerox 190,Office Supplies,East,5,24.9,197
2011-03-25,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,East,7,366.79,199
2011-03-25,Newell 35,Office Supplies,West,2,6.56,154
2011-03-25,Eberhard Faber 3 1/2' Golf Pencils,Office Supplies,West,2,14.88,136
2011-03-25,Imation Swivel Flash Drive USB flash drive - 8 GB,Technology,West,4,45.48,61
2011-03-25,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Office Supplies,West,6,25.44,164
2011-03-26,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,West,5,18.75,224
2011-03-26,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,West,3,66.3,50
2011-03-26,Newell 308,Office Supplies,West,2,3.36,233
2011-03-26,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,West,4,27.94,171
2011-03-26,Griffin GC17055 Auxiliary Audio Cable,Technology,West,2,28.78,151
2011-03-28,Hon 94000 Series Round Tables,Furniture,Central,4,1184.72,206
2011-03-28,AT&T TR1909W,Technology,West,3,302.38,58
2011-03-28,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,East,1,330.59,117
2011-03-28,Poly String Tie Envelopes,Office Supplies,Central,3,6.12,159
2011-03-29,Bush Advantage Collection Racetrack Conference Table,Furniture,Central,3,890.84,95
2011-03-30,Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Central,7,251.94,215
2011-03-30,Space Solutions Commercial Steel Shelving,Office Supplies,Central,2,129.3,232
2011-03-30,"Global Stack Chair without Arms, Black",Furniture,Central,7,127.3,179
2011-03-30,Sterilite Show Offs Storage Containers,Office Supplies,West,3,15.84,112
2011-03-30,Avery 490,Office Supplies,West,3,44.4,61
2011-03-30,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,East,5,10.5,240
2011-03-30,Airmail Envelopes,Office Supplies,Central,5,335.72,185
2011-03-30,Peel-Off China Markers,Office Supplies,East,5,49.65,51
2011-03-30,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,West,2,205.67,11
2011-03-31,Ibico Plastic and Wire Spiral Binding Combs,Office Supplies,South,5,12.64,38
2011-03-31,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,South,2,4.03,129
2011-03-31,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,South,7,1125.49,130
2011-03-31,Avery Hole Reinforcements,Office Supplies,South,1,1.87,112
2011-03-31,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,Technology,Central,2,79.98,100
2011-03-31,Avery Round Ring Poly Binders,Office Supplies,East,1,0.85,112
2011-03-31,Fellowes Advanced Computer Series Surge Protectors,Office Supplies,West,2,52.98,183
2011-03-31,Fellowes Black Plastic Comb Bindings,Office Supplies,Central,7,8.13,80
2011-03-31,GBC DocuBind 200 Manual Binding Machine,Office Supplies,West,2,673.57,186
2011-04-01,"Pressboard Data Binder, Crimson, 12' X 8 1/2'",Office Supplies,West,4,17.09,112
2011-04-01,Avery 490,Office Supplies,West,2,29.6,1
2011-04-01,Zipper Ring Binder Pockets,Office Supplies,East,2,6.24,129
2011-04-01,Rogers Profile Extra Capacity Storage Tub,Office Supplies,East,4,66.96,219
2011-04-02,Luxo Adjustable Task Clamp Lamp,Furniture,South,2,177.68,53
2011-04-02,Xerox 1990,Office Supplies,South,3,15.84,86
2011-04-02,Xerox 1898,Office Supplies,Central,5,26.72,228
2011-04-02,Motorola Droid Maxx,Technology,South,7,1049.93,223
2011-04-02,Euro-Pro Shark Turbo Vacuum,Office Supplies,South,5,154.9,224
2011-04-02,Xerox 1947,Office Supplies,Central,7,33.49,128
2011-04-03,Staples,Office Supplies,West,2,11.16,146
2011-04-03,Logitech G600 MMO Gaming Mouse,Technology,West,2,159.98,125
2011-04-03,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Technology,West,3,62.31,129
2011-04-04,Xerox 209,Office Supplies,South,3,19.44,52
2011-04-04,Newell 319,Office Supplies,Central,4,79.36,171
2011-04-04,Advantus Panel Wall Acrylic Frame,Furniture,Central,1,5.47,217
2011-04-04,Xerox 1966,Office Supplies,South,2,12.96,159
2011-04-04,Avery Non-Stick Binders,Office Supplies,West,2,7.18,197
2011-04-04,Avery 518,Office Supplies,West,6,18.9,159
2011-04-04,Safco Commercial Shelving,Office Supplies,South,5,232.55,246
2011-04-04,Logitech Wireless Marathon Mouse M705,Technology,South,2,99.98,67
2011-04-05,Adjustable Personal File Tote,Office Supplies,Central,4,52.1,182
2011-04-05,Ibico Standard Transparent Covers,Office Supplies,South,7,115.36,202
2011-04-05,Crayola Colored Pencils,Office Supplies,South,7,22.96,183
2011-04-05,Stanley Contemporary Battery Pencil Sharpeners,Office Supplies,Central,2,26.7,122
2011-04-05,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,Central,5,40.2,144
2011-04-05,AT&T CL82213,Technology,South,1,28.99,37
2011-04-05,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Office Supplies,East,1,55.48,23
2011-04-05,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Central,3,13.89,68
2011-04-05,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Central,6,689.82,115
2011-04-05,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,South,5,4164.05,97
2011-04-05,Xerox 1957,Office Supplies,South,2,12.96,197
2011-04-05,Newell 321,Office Supplies,South,7,22.96,213
2011-04-05,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Central,4,49.63,138
2011-04-06,"Avery Trapezoid Ring Binder, 3' Capacity, Black, 1040 sheets",Office Supplies,West,2,65.57,239
2011-04-06,Kingston Digital DataTraveler 32GB USB 2.0,Technology,West,2,33.9,143
2011-04-06,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Office Supplies,West,3,70.95,96
2011-04-06,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Technology,West,3,299.97,200
2011-04-06,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Furniture,West,3,653.55,123
